model,embedding_jl,embedding_pca,pixels,pixels_hq,pixels_pretrained,svm,svm_jl
cnn,,,0.7313231323132314,,,,
cnn_deep,,,,0.7652370203160271,,,
cnn_pretrained,,,,,0.7632805219012117,,
hard_svm,,0.7741383001498607,,,,0.6784140969162995,
hard_svm_kernel,,0.6470588235294117,,,,0.618095930232558,
hgb,,0.7788441032203027,,,,0.694086260560249,
linreg,,0.7681128446249199,,,,0.6776460254721125,
logreg,,0.7725321888412018,,,,0.6801940891045435,
mlp,,0.7977862920391656,,,,0.7098156879554223,
rf,,0.7237715803452854,,,,0.6633020908435472,
ridge,,0.7681128446249199,,,,0.6776460254721125,
svm,0.7470885519666007,0.8177339901477833,,,,0.7252650176678446,0.713813615333774
vit,,,0.7288378766140604,,,,
vit_deep,,,,0.7380156075808251,,,
vit_pretrained,,,,,0.8443425713690352,,
