model_name,recall,baseline_recall,lift_recall,run_id
vit_pretrained,0.8909410729991205,0.0,0.8909410729991205,20260728_153612
svm,0.8394898856640282,0.0,0.8394898856640282,20260728_122943
mlp,0.8240985048372911,0.0,0.8240985048372911,20260728_130830
hgb,0.802990325417766,0.0,0.802990325417766,20260728_130753
hard_svm,0.7950747581354441,0.0,0.7950747581354441,20260728_131015
logreg,0.7915567282321899,0.0,0.7915567282321899,20260728_130732
linreg,0.7902374670184696,0.0,0.7902374670184696,20260728_130949
ridge,0.7902374670184696,0.0,0.7902374670184696,20260728_130929
vit,0.781882145998241,0.0,0.781882145998241,20260728_132755
hard_svm_kernel,0.7480211081794196,0.0,0.7480211081794196,20260722_131023
cnn_deep,0.7453825857519789,0.0,0.7453825857519789,20260728_132844
vit_deep,0.727792436235708,0.0,0.727792436235708,20260728_133446
cnn_pretrained,0.7203166226912929,0.0,0.7203166226912929,20260728_133910
rf,0.7189973614775725,0.0,0.7189973614775725,20260728_130859
cnn,0.7145998240985049,0.0,0.7145998240985049,20260728_132718
