model_name,roc_auc,baseline_roc_auc,lift_roc_auc,run_id
vit_pretrained,0.9332289765126981,0.5,0.4332289765126981,20260802_005521
svm,0.9118889020094456,0.5,0.4118889020094456,20260728_122943
mlp,0.8913458206617794,0.5,0.39134582066177936,20260728_130830
cnn_pretrained,0.8783901851353557,0.5,0.3783901851353557,20260802_005313
hgb,0.8783180758467114,0.5,0.3783180758467114,20260728_130753
cnn_deep,0.8771948163907156,0.5,0.3771948163907156,20260728_132844
logreg,0.871003580621411,0.5,0.37100358062141103,20260728_130732
hard_svm,0.8707638615992065,0.5,0.3707638615992065,20260728_131015
ridge,0.8689979099598575,0.5,0.3689979099598575,20260728_130929
linreg,0.8689975873232194,0.5,0.3689975873232194,20260728_130949
cnn,0.8422456865094651,0.5,0.3422456865094651,20260728_132718
vit_deep,0.840780270898627,0.5,0.34078027089862695,20260728_133446
rf,0.840004168465366,0.5,0.34000416846536596,20260728_130859
vit,0.8259192240459795,0.5,0.3259192240459795,20260728_132755
hard_svm_kernel,0.7144512499266001,0.5,0.21445124992660014,20260728_131035
