model,embedding_jl,embedding_pca,fast,hq,no_denoise,pixels,pixels_hq,pixels_pretrained,svm,svm_jl
cnn,,,,,,0.8422456865094651,,,,
cnn_deep,,,,,,,0.8771948163907156,,,
cnn_pretrained,,,,,,,,0.8783901851353557,,
hard_svm,0.8020922663352543,0.8707638615992065,0.7899038607345404,0.7902552120335723,0.7900408199874687,,,,0.7865408577359556,0.7657561215462555
hard_svm_kernel,0.5763722865452133,0.7144512499266001,0.6046957504237832,0.6166416945908677,0.5820119749814645,,,,0.6335770530498518,0.5219320320752441
hgb,0.8176861016524803,0.8783180758467114,0.8080362011213559,0.8097216549194667,0.8112735371493505,,,,0.8090213720961896,0.7773399060869275
linreg,0.8025415378539889,0.8689975873232194,0.7891053350549224,0.7909980828930956,0.789395869347648,,,,0.7858970363243686,0.7649769540649313
logreg,0.8023776384417683,0.871003580621411,0.7901995572134777,0.7901342232942361,0.7902426292046814,,,,0.7866471665082521,0.7668874469182072
mlp,0.8146837257562763,0.8913458206617794,0.8067088739916799,0.8206014463155219,0.8087877025109518,,,,0.8067710622036987,0.7857160371703218
rf,0.8057858912288648,0.840004168465366,0.7959768501759338,0.7859520458711866,0.8007656651380142,,,,0.7990078600737807,0.7618118079847407
ridge,0.8025416185131484,0.8689979099598575,0.7891051737366033,0.7909982442114147,0.789395869347648,,,,0.7858979235751238,0.7649900208487795
svm,0.8456212723369411,0.9118889020094456,0.8354509589083525,0.8475875813286305,0.8366421333766957,,,,0.834055394129691,0.81323436131819
vit,,,,,,0.8259192240459795,,,,
vit_deep,,,,,,,0.840780270898627,,,
vit_pretrained,,,,,,,,0.9332289765126981,,
