photo_name,photo_path,label,split
bad_792.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_792.jpg,1,train
CCO (2270).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (2270).jpg,0,train
CCO (410).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (410).jpg,0,train
888 (1291).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/888 (1291).jpg,1,train
CCO (3968).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (3968).jpg,0,train
bad_2710.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_2710.jpg,1,train
bad_1735.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_1735.jpg,1,train
111 (973).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/111 (973).jpg,1,train
CCO (3686).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (3686).jpg,0,train
b (4323).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (4323).jpg,1,train
b (2952).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (2952).jpg,1,train
b (2297).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (2297).jpg,1,train
bad_780.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_780.jpg,1,train
CCO (3418).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (3418).jpg,0,train
b (1952).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (1952).jpg,1,train
bad_1771.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_1771.jpg,1,train
bad_1939.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_1939.jpg,1,train
b (3641).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (3641).jpg,1,train
888 (981).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/888 (981).jpg,1,train
888 (1772).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/888 (1772).jpg,1,train
bad_309.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_309.jpg,1,train
CCO (4446).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (4446).jpg,0,train
CCO (1633).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (1633).jpg,0,train
b (3262).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (3262).jpg,1,train
888 (1435).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/888 (1435).jpg,1,train
CCO (3108).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (3108).jpg,0,train
bad_1987.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_1987.jpg,1,train
888 (1062).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/888 (1062).jpg,1,train
CCO (2911).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (2911).jpg,0,train
bad_1703.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_1703.jpg,1,train
CCO (4730).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (4730).jpg,0,train
888 (549).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/888 (549).jpg,1,train
CCO (4293).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (4293).jpg,0,train
b (4734).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (4734).jpg,1,train
CCO (3347).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (3347).jpg,0,train
b (2903).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (2903).jpg,1,train
111 (649).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/111 (649).jpg,1,train
b (4171).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (4171).jpg,1,train
CCO (2465).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (2465).jpg,0,train
b (4317).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (4317).jpg,1,train
CCO (1169).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (1169).jpg,0,train
888 (1441).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/888 (1441).jpg,1,train
CCO (1939).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (1939).jpg,0,train
bad_1068.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_1068.jpg,1,train
888 (1909).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/888 (1909).jpg,1,train
CCO (969).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (969).jpg,0,train
bad_904.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_904.jpg,1,train
111 (74).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/111 (74).jpg,1,train
111 (161).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/111 (161).jpg,1,train
888 (1908).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/888 (1908).jpg,1,train
bad_727.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_727.jpg,1,train
CCO (4912).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (4912).jpg,0,train
888 (1846).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/888 (1846).jpg,1,train
CCO (4631).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (4631).jpg,0,train
CCO (4339).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (4339).jpg,0,train
bad_44.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_44.jpg,1,train
b (2015).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (2015).jpg,1,train
888 (11).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/888 (11).jpg,1,train
b (4070).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (4070).jpg,1,train
b (3140).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (3140).jpg,1,train
bad_1340.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_1340.jpg,1,train
bad_2282.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_2282.jpg,1,train
CCO (3501).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (3501).jpg,0,train
CCO (1770).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (1770).jpg,0,train
CCO (4133).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (4133).jpg,0,train
bad_2539.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_2539.jpg,1,train
b (4666).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (4666).jpg,1,train
bad_29.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_29.jpg,1,train
b (2105).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (2105).jpg,1,train
CCO (4571).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (4571).jpg,0,train
CCO (4506).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (4506).jpg,0,train
b (4955).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (4955).jpg,1,train
CCO (3622).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (3622).jpg,0,train
bad_2512.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_2512.jpg,1,train
bad_497.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_497.jpg,1,train
bad_2755.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_2755.jpg,1,train
b (2692).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (2692).jpg,1,train
CCO (3275).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (3275).jpg,0,train
111 (597).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/111 (597).jpg,1,train
b (3394).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (3394).jpg,1,train
111 (1140).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/111 (1140).jpg,1,train
bad_1299.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_1299.jpg,1,train
bad_124.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_124.jpg,1,train
bad_1406.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_1406.jpg,1,train
b (4123).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (4123).jpg,1,train
CCO (4498).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (4498).jpg,0,train
111 (942).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/111 (942).jpg,1,train
CCO (5344).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (5344).jpg,0,train
b (2172).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (2172).jpg,1,train
bad_1353.jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/bad_1353.jpg,1,train
888 (1506).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/888 (1506).jpg,1,train
CCO (5509).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (5509).jpg,0,train
888 (493).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/888 (493).jpg,1,train
888 (1964).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/888 (1964).jpg,1,train
CCO (5212).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (5212).jpg,0,train
111 (173).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/111 (173).jpg,1,train
111 (1342).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/111 (1342).jpg,1,train
CCO (3333).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (3333).jpg,0,train
b (3035).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (3035).jpg,1,train
b (2892).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (2892).jpg,1,train
CCO (834).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (834).jpg,0,train
CCO (1917).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (1917).jpg,0,train
111 (581).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/111 (581).jpg,1,train
CCO (1650).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (1650).jpg,0,train
CCO (3937).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (3937).jpg,0,train
CCO (4520).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Real/CCO (4520).jpg,0,train
b (3326).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/b (3326).jpg,1,train
888 (419).jpg,datasets/deepfake-vs-real-20k/Deep-vs-Real/Deepfake/888 (419).jpg,1,train
