image_path,label_numeric,data_split
photos\1.jpg,1,train
photos\2.jpg,1,test
photos\3.jpg,1,train
photos\4.jpg,1,val
photos\5.jpg,1,test
photos\6.jpg,1,val
photos\7.jpg,1,train
photos\8.jpg,1,train
photos\9.jpg,1,train
photos\10.jpg,1,val
photos\11.jpg,1,train
photos\12.jpg,1,val
photos\13.jpg,1,train
photos\14.jpg,1,train
photos\15.jpg,1,train
photos\16.jpg,1,train
photos\17.jpg,1,test
photos\18.jpg,1,train
photos\19.jpg,1,train
photos\20.jpg,1,test
photos\21.jpg,1,train
photos\22.jpg,1,test
photos\23.jpg,1,train
photos\24.jpg,1,train
photos\25.jpg,1,train
photos\26.jpg,1,train
photos\27.jpg,1,train
photos\28.jpg,1,val
photos\29.jpg,1,train
photos\30.jpg,1,train
photos\31.jpg,1,train
photos\32.jpg,1,train
photos\33.jpg,1,train
photos\34.jpg,1,train
photos\35.jpg,1,test
photos\36.jpg,1,test
photos\37.jpg,1,val
photos\38.jpg,1,train
photos\39.jpg,1,val
photos\40.jpg,1,train
photos\41.jpg,1,val
photos\42.jpg,1,train
photos\43.jpg,1,val
photos\44.jpg,1,train
photos\45.jpg,1,train
photos\46.jpg,1,train
photos\47.jpg,1,test
photos\48.jpg,1,val
photos\49.jpg,1,train
photos\50.jpg,1,train
photos\51.jpg,1,test
photos\52.jpg,1,train
photos\53.jpg,1,train
photos\54.jpg,1,train
photos\55.jpg,1,train
photos\56.jpg,1,val
photos\57.jpg,1,train
photos\58.jpg,1,train
photos\59.jpg,1,train
photos\60.jpg,1,train
photos\61.jpg,1,val
photos\62.jpg,1,train
photos\63.jpg,1,val
photos\64.jpg,1,train
photos\65.jpg,1,test
photos\66.jpg,1,train
photos\67.jpg,1,val
photos\68.jpg,1,train
photos\69.jpg,1,val
photos\70.jpg,1,train
photos\71.jpg,1,train
photos\72.jpg,1,train
photos\73.jpg,1,train
photos\74.jpg,1,train
photos\75.jpg,1,val
photos\76.jpg,1,val
photos\77.jpg,1,train
photos\78.jpg,1,val
photos\79.jpg,1,train
photos\80.jpg,1,val
photos\81.jpg,1,train
photos\82.jpg,1,train
photos\83.jpg,1,val
photos\84.jpg,1,train
photos\85.jpg,1,train
photos\86.jpg,1,train
photos\87.jpg,1,train
photos\88.jpg,1,train
photos\89.jpg,1,train
photos\90.jpg,1,val
photos\91.jpg,1,val
photos\92.jpg,1,train
photos\93.jpg,1,val
photos\94.jpg,1,train
photos\95.jpg,1,train
photos\96.jpg,1,test
photos\97.jpg,1,train
photos\98.jpg,1,train
photos\99.jpg,1,test
photos\100.jpg,1,train
photos\101.jpg,1,train
photos\102.jpg,1,train
photos\103.jpg,1,train
photos\104.jpg,1,test
photos\105.jpg,1,train
photos\106.jpg,1,train
photos\107.jpg,1,val
photos\108.jpg,1,train
photos\109.jpg,1,train
photos\110.jpg,1,train
photos\111.jpg,1,val
photos\112.jpg,1,train
photos\113.jpg,1,val
photos\114.jpg,1,train
photos\115.jpg,1,val
photos\116.jpg,1,train
photos\117.jpg,1,test
photos\118.jpg,1,val
photos\119.jpg,1,train
photos\120.jpg,1,test
photos\121.jpg,1,train
photos\122.jpg,1,train
photos\123.jpg,1,test
photos\124.jpg,1,train
photos\125.jpg,1,train
photos\126.jpg,1,val
photos\127.jpg,1,train
photos\128.jpg,1,test
photos\129.jpg,1,train
photos\130.jpg,1,train
photos\131.jpg,1,test
photos\132.jpg,1,val
photos\133.jpg,1,train
photos\134.jpg,1,val
photos\135.jpg,1,train
photos\136.jpg,1,train
photos\137.jpg,1,train
photos\138.jpg,1,val
photos\139.jpg,1,val
photos\140.jpg,1,train
photos\141.jpg,1,train
photos\142.jpg,1,train
photos\143.jpg,1,train
photos\144.jpg,1,val
photos\145.jpg,1,train
photos\146.jpg,1,train
photos\147.jpg,1,test
photos\148.jpg,1,train
photos\149.jpg,1,train
photos\150.jpg,1,train
photos\151.jpg,1,train
photos\152.jpg,1,train
photos\153.jpg,1,train
photos\154.jpg,1,test
photos\155.jpg,1,test
photos\156.jpg,1,train
photos\157.jpg,1,train
photos\158.jpg,1,train
photos\159.jpg,1,train
photos\160.jpg,1,train
photos\161.jpg,1,test
photos\162.jpg,1,test
photos\163.jpg,1,train
photos\164.jpg,1,train
photos\165.jpg,1,train
photos\166.jpg,1,val
photos\167.jpg,1,train
photos\168.jpg,1,train
photos\169.jpg,1,train
photos\170.jpg,1,train
photos\171.jpg,1,train
photos\172.jpg,1,train
photos\173.jpg,1,val
photos\174.jpg,1,train
photos\175.jpg,1,train
photos\176.jpg,1,train
photos\177.jpg,1,train
photos\178.jpg,1,train
photos\179.jpg,1,train
photos\180.jpg,1,train
photos\181.jpg,1,test
photos\182.jpg,1,train
photos\183.jpg,1,train
photos\184.jpg,1,train
photos\185.jpg,1,train
photos\186.jpg,1,train
