model_name,f1,baseline_f1,lift_f1,run_id
vit_pretrained,0.8443425713690352,0.0,0.8443425713690352,20260802_005521
svm,0.8177339901477833,0.0,0.8177339901477833,20260728_122943
mlp,0.7977862920391656,0.0,0.7977862920391656,20260728_130830
hgb,0.7788441032203027,0.0,0.7788441032203027,20260728_130753
hard_svm,0.7741383001498607,0.0,0.7741383001498607,20260728_131015
logreg,0.7725321888412018,0.0,0.7725321888412018,20260728_130732
linreg,0.7681128446249199,0.0,0.7681128446249199,20260728_130949
ridge,0.7681128446249199,0.0,0.7681128446249199,20260728_130929
cnn_deep,0.7652370203160271,0.0,0.7652370203160271,20260728_132844
cnn_pretrained,0.7632805219012117,0.0,0.7632805219012117,20260802_005313
vit_deep,0.7380156075808251,0.0,0.7380156075808251,20260728_133446
cnn,0.7313231323132314,0.0,0.7313231323132314,20260728_132718
vit,0.7288378766140604,0.0,0.7288378766140604,20260728_132755
rf,0.7237715803452854,0.0,0.7237715803452854,20260728_130859
hard_svm_kernel,0.6470588235294117,0.0,0.6470588235294117,20260728_131035
