model,embedding_jl,embedding_pca,fast,hq,no_denoise,pixels,pixels_hq,pixels_pretrained,svm,svm_jl
cnn,,,,,,0.7612,,,,
cnn_deep,,,,,,,0.792,,,
cnn_pretrained,,,,,,,,0.7968,,
hard_svm,0.7276,0.789,0.7134,0.7108,0.7124,,,,0.708,0.6952
hard_svm_kernel,0.542,0.6496,0.5574,0.5788,0.5458,,,,0.5796,0.5056
hgb,0.7352,0.7926,0.7302,0.7334,0.7334,,,,0.7248,0.7042
linreg,0.7292,0.783,0.7108,0.7154,0.7118,,,,0.7064,0.6918
logreg,0.727,0.788,0.7148,0.7102,0.7108,,,,0.71,0.6976
mlp,0.7344,0.81,0.733,0.7448,0.7338,,,,0.7292,0.7082
rf,0.7186,0.7504,0.714,0.7066,0.719,,,,0.7198,0.6946
ridge,0.7292,0.783,0.7108,0.7154,0.7118,,,,0.7064,0.6918
svm,0.7698,0.8298,0.7488,0.7698,0.7528,,,,0.7512,0.7402
vit,,,,,,0.7354,,,,
vit_deep,,,,,,,0.765,,,
vit_pretrained,,,,,,,,0.8506,,
