model,embedding_jl,embedding_pca,fast,hq,no_denoise,pixels,pixels_hq,pixels_pretrained,svm,svm_jl
cnn,,,,,,0.7313231323132314,,,,
cnn_deep,,,,,,,0.7652370203160271,,,
cnn_pretrained,,,,,,,,0.7632805219012117,,
hard_svm,0.7108280254777071,0.7741383001498607,0.6826135105204874,0.6810763123070136,0.6807282415630551,,,,0.6784140969162995,0.6619343389529726
hard_svm_kernel,0.5888689407540395,0.6470588235294117,0.6010456102397692,0.5983981693363845,0.5916202121920519,,,,0.618095930232558,0.5477497255762898
hgb,0.7077262693156733,0.7788441032203027,0.7014826289001992,0.7052841034711474,0.7046310658098826,,,,0.694086260560249,0.6689053055742108
linreg,0.715546218487395,0.7681128446249199,0.6805125939019001,0.6869086908690868,0.6811241425094048,,,,0.6776460254721125,0.6598984771573604
logreg,0.707771355170199,0.7725321888412018,0.6838137472283814,0.6813283483615571,0.6795212765957447,,,,0.6801940891045435,0.6644474034620506
mlp,0.7106753812636165,0.7977862920391656,0.7122224617374435,0.7236899090515375,0.7127131448305632,,,,0.7098156879554223,0.6822043127858854
rf,0.6742301458670988,0.7237715803452854,0.6578947368421052,0.6447081617825139,0.6647578143641136,,,,0.6633020908435472,0.6441388953623863
ridge,0.715546218487395,0.7681128446249199,0.6805125939019001,0.6869086908690868,0.6811241425094048,,,,0.6776460254721125,0.6598984771573604
svm,0.7470885519666007,0.8177339901477833,0.7222467934542237,0.7468660655377171,0.7275132275132276,,,,0.7252650176678446,0.713813615333774
vit,,,,,,0.7288378766140604,,,,
vit_deep,,,,,,,0.7380156075808251,,,
vit_pretrained,,,,,,,,0.8443425713690352,,
